Velocity,AOA,Inaccuracy,d2Yl,y_TE,a_TE,CL,CD
64,-4,-1,0,0,-5,-0.225703731,0.014371338
64,-2,-1,0,0,-5,0.089748866,0.013473903
64,0,-1,0,0,-5,0.398773889,0.013154158
64,2,-1,0,0,-5,0.708580655,0.013902767
64,4,-1,0,0,-5,1.023384884,0.015148184
64,6,-1,0,0,-5,1.303065029,0.017585656
64,8,-1,0,0,-5,1.57265167,0.021870859
64,10,-1,0,0,-5,1.7782883,0.028525009
64,12,-1,0,0,-5,1.991110084,0.035970159
64,14,-1,0,0,-5,2.094438126,0.048481633
55,-4,-1,0,0,-5,-0.226636672,0.014682056
55,-2,-1,0,0,-5,0.086839238,0.01376769
55,0,-1,0,0,-5,0.393323383,0.013443132
55,2,-1,0,0,-5,0.700912116,0.014227619
55,4,-1,0,0,-5,1.015111107,0.015527369
55,6,-1,0,0,-5,1.28949407,0.018115276
55,8,-1,0,0,-5,1.551609388,0.022605204
55,10,-1,0,0,-5,1.746537302,0.029734911
55,12,-1,0,0,-5,1.950463312,0.037753554
55,14,-1,0,0,-5,2.040107132,0.051496061
64,-4,-1,0,0,-15,-0.00427254,0.014228227
64,-2,-1,0,0,-15,0.312259678,0.013361906
64,0,-1,0,0,-15,0.62671113,0.013244633
64,2,-1,0,0,-15,0.918923097,0.014599353
64,4,-1,0,0,-15,1.221579201,0.016481167
64,6,-1,0,0,-15,1.515899058,0.019547353
64,8,-1,0,0,-15,1.760932087,0.023296073
64,10,-1,0,0,-15,1.980457362,0.02863119
64,12,-1,0,0,-15,2.138597074,0.03826501
64,14,-1,0,0,-15,2.323857911,0.049076192
55,-4,-1,0,0,-15,-0.013201433,0.014564399
55,-2,-1,0,0,-15,0.301360397,0.013673774
55,0,-1,0,0,-15,0.614197514,0.013559741
55,2,-1,0,0,-15,0.902675654,0.014934534
55,4,-1,0,0,-15,1.20235941,0.016879184
55,6,-1,0,0,-15,1.489164362,0.02014677
55,8,-1,0,0,-15,1.72611748,0.024018508
55,10,-1,0,0,-15,1.942396529,0.029654838
55,12,-1,0,0,-15,2.098741232,0.039733356
55,14,-1,0,0,-15,2.274870142,0.051686662
64,-4,-1,0,0.05,-10,-0.63846229,0.015756182
64,-2,-1,0,0.05,-10,-0.398138134,0.013393786
64,0,-1,0,0.05,-10,-0.150861696,0.011851799
64,2,-1,0,0.05,-10,0.127794607,0.013011282
64,4,-1,0,0.05,-10,0.34797125,0.011210156
64,6,-1,0,0.05,-10,0.596213566,0.012198087
64,8,-1,0,0.05,-10,0.837193274,0.013448891
55,-4,-1,0,0.05,-10,-0.636754384,0.016260523
55,-2,-1,0,0.05,-10,-0.400506799,0.013769041
55,0,-1,0,0.05,-10,-0.155377324,0.012179763
55,2,-1,0,0.05,-10,0.090423996,0.011164044
55,4,-1,0,0.05,-10,0.340217752,0.011516974
55,6,-1,0,0.05,-10,0.587344301,0.012482776
55,8,-1,0,0.05,-10,0.825668136,0.013746325
64,-4,-1,0,0.05,-15,-0.546061376,0.015631317
64,-2,-1,0,0.05,-15,-0.313921009,0.012861803
64,0,-1,0,0.05,-15,-0.064375957,0.011569618
64,2,-1,0,0.05,-15,0.189011689,0.011310193
64,4,-1,0,0.05,-15,0.457050374,0.011194104
64,6,-1,0,0.05,-15,0.693565919,0.012643626
64,8,-1,0,0.05,-15,0.932676018,0.014552033
55,-4,-1,0,0.05,-15,-0.545661362,0.016189086
55,-2,-1,0,0.05,-15,-0.319555152,0.013285579
55,0,-1,0,0.05,-15,-0.072316196,0.011932488
55,2,-1,0,0.05,-15,0.179789499,0.011647093
55,4,-1,0,0.05,-15,0.449135214,0.011518034
55,6,-1,0,0.05,-15,0.68256053,0.012946877
55,8,-1,0,0.05,-15,0.919819434,0.01487263
64,-4,-1,0,-0.05,-15,0.54176702,0.011676115
64,-2,-1,0,-0.05,-15,0.789508794,0.012656402
64,0,-1,0,-0.05,-15,1.022021532,0.014264954
64,2,-1,0,-0.05,-15,1.241936627,0.016872713
64,4,-1,0,-0.05,-15,1.420850118,0.019041811
64,6,-1,0,-0.05,-15,1.620426156,0.024880684
64,8,-1,0,-0.05,-15,1.723481731,0.032251095
55,-4,-1,0,-0.05,-15,0.533398691,0.011997975
55,-2,-1,0,-0.05,-15,0.777431039,0.013161979
55,0,-1,0,-0.05,-15,1.009542705,0.01472123
55,2,-1,0,-0.05,-15,1.225569996,0.017408997
55,4,-1,0,-0.05,-15,1.399083903,0.019698067
55,6,-1,0,-0.05,-15,1.596381554,0.025808372
55,8,-1,0,-0.05,-15,1.691573188,0.033680464
64,-4,-1,0.1,0,0,-0.228458907,0.012443378
64,-2,-1,0.1,0,0,-0.008966028,0.011200003
64,0,-1,0.1,0,0,0.24200804,0.010916137
64,2,-1,0.1,0,0,0.485775375,0.011498022
64,4,-1,0.1,0,0,0.753407504,0.012424224
64,6,-1,0.1,0,0,0.958137035,0.014859778
64,8,-1,0.1,0,0,1.191914038,0.01808976
55,-4,-1,0.1,0,0,-0.226853195,0.012705682
55,-2,-1,0.1,0,0,-0.007711409,0.011472657
55,0,-1,0.1,0,0,0.242347554,0.011211888
55,2,-1,0.1,0,0,0.48501333,0.011818659
55,4,-1,0.1,0,0,0.749455552,0.012765507
55,6,-1,0.1,0,0,0.952004489,0.015291293
55,8,-1,0.1,0,0,1.181692941,0.018671135
64,-4,-1,-0.1,0,0,-0.302334349,0.012449521
64,-2,-1,-0.1,0,0,-0.054966987,0.011506685
64,0,-1,-0.1,0,0,0.192859996,0.010928648
64,2,-1,-0.1,0,0,0.437049808,0.011589997
64,4,-1,-0.1,0,0,0.689377488,0.012468512
64,6,-1,-0.1,0,0,0.920717293,0.014766272
64,8,-1,-0.1,0,0,1.135142037,0.017715297
55,-4,-1,-0.1,0,0,-0.299113775,0.012713824
55,-2,-1,-0.1,0,0,-0.053471607,0.011773524
